Lcom/adcolony/sdk/AdColonyAppOptions;,getUserID,['UserID']
Lcom/adcolony/sdk/AdColonyAppOptions;,setUserID,['UserID']
Lcom/adcolony/sdk/AdColonyInterstitialListener;,onClicked,['Click']
Lcom/adcolony/sdk/AdColonyNativeAdView$1;,onClick,['Click']
Lcom/adcolony/sdk/AdColonyNativeAdViewListener;,onClicked,['Click']
Lcom/adcolony/sdk/AdColonyUserMetadata;,getUserEducation,['Education']
Lcom/adcolony/sdk/AdColonyUserMetadata;,getUserGender,['Gender']
Lcom/adcolony/sdk/AdColonyUserMetadata;,getUserLocation,['Location']
Lcom/adcolony/sdk/AdColonyUserMetadata;,getUserMaritalStatus,['Marital']
Lcom/adcolony/sdk/AdColonyUserMetadata;,setUserEducation,['Education']
Lcom/adcolony/sdk/AdColonyUserMetadata;,setUserGender,['Gender']
Lcom/adcolony/sdk/AdColonyUserMetadata;,setUserLocation,['Location']
Lcom/adcolony/sdk/AdColonyUserMetadata;,setUserMaritalStatus,['Marital']
Lcom/adcolony/sdk/l$2;,onClick,['Click']
Lcom/adcolony/sdk/l$3;,onClick,['Click']
