Lcom/amazon/device/iap/model/Product;,getPrice,['Price']
Lcom/onesignal/GenerateNotification$1$1;,onClick,['Click']
Lcom/onesignal/GooglePlayServicesUpgradePrompt$1$1;,onClick,['Click']
Lcom/onesignal/GooglePlayServicesUpgradePrompt$1$2;,onClick,['Click']
Lcom/onesignal/LocationGMS$FusedLocationApiWrapper;,getLastLocation,['Location']
Lcom/onesignal/LocationGMS;,getLastLocationTime,['Location']
Lcom/onesignal/LocationGMS;,getLocation,['Location']
Lcom/onesignal/LocationGMS;,setLastLocationTime,['Location']
Lcom/onesignal/LocationGMS;,startGetLocation,['Location']
Lcom/onesignal/NotificationGenerationJob;,getAndroidId,['AndroidID']
Lcom/onesignal/NotificationGenerationJob;,getAndroidIdWithoutCreate,['AndroidID']
Lcom/onesignal/NotificationGenerationJob;,setAndroidIdWithOutOverriding,['AndroidID']
Lcom/onesignal/OSEmailSubscriptionState;,getEmailAddress,"['Email', 'Address']"
Lcom/onesignal/OSEmailSubscriptionState;,getEmailUserId,['UserID']
Lcom/onesignal/OSEmailSubscriptionState;,setEmailAddress,"['Email', 'Address']"
Lcom/onesignal/OSEmailSubscriptionState;,setEmailUserId,['UserID']
Lcom/onesignal/OSInAppMessage;,getClickedClickIds,['Click']
Lcom/onesignal/OSSubscriptionState;,getUserId,['UserID']
Lcom/onesignal/OSSubscriptionState;,setUserId,['UserID']
Lcom/onesignal/OneSignal$InAppMessageClickHandler;,inAppMessageClicked,['Click']
Lcom/onesignal/OneSignal;,getSavedUserId,['UserID']
Lcom/onesignal/OneSignal;,getUserId,['UserID']
Lcom/onesignal/OneSignal;,saveUserId,['UserID']
Lcom/onesignal/OneSignal;,setExternalUserId,['UserID']
Lcom/onesignal/OneSignal;,setExternalUserId,['UserID']
Lcom/onesignal/OneSignal;,setLocationShared,['Location']
Lcom/onesignal/OneSignal;,updateUserIdDependents,['UserID']
Lcom/onesignal/OneSignalStateSynchronizer;,setExternalUserId,['UserID']
Lcom/onesignal/TrackAmazonPurchase$OSPurchasingListener;,marketToCurrencyCode,['Currency']
Lcom/onesignal/UserState;,setLocation,['Location']
Lcom/onesignal/UserStateEmailSynchronizer;,setExternalUserId,['UserID']
Lcom/onesignal/UserStatePushSynchronizer;,setExternalUserId,['UserID']
Lcom/onesignal/UserStateSynchronizer;,externalUserIdUpdateHandlersPerformOnFailure,['UserID']
Lcom/onesignal/UserStateSynchronizer;,externalUserIdUpdateHandlersPerformOnSuccess,['UserID']
Lcom/onesignal/UserStateSynchronizer;,setExternalUserId,['UserID']
Lcom/onesignal/WebViewManager$OSJavaScriptInterface;,getDisplayLocation,['Location']
